kind,official_name,official_module,catalog_reference_found,status,notes
fixed,Autoformer,neuralforecast.models.autoformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,RayOptions,neuralforecast.common._base_auto,False,MISSING,Static catalog match only; runtime verification required.
auto,SOFTS,neuralforecast.models.softs,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,SOFTSSharp,neuralforecast.models.softssharp,False,MISSING,Static catalog match only; runtime verification required.
auto,StemGNN,neuralforecast.models.stemgnn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TCN,neuralforecast.models.tcn,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TFT,neuralforecast.models.tft,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TSMixer,neuralforecast.models.tsmixer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TSMixerx,neuralforecast.models.tsmixerx,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TiDE,neuralforecast.models.tide,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TimeMixer,neuralforecast.models.timemixer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TimeXer,neuralforecast.models.timexer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,TimesNet,neuralforecast.models.timesnet,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,VanillaTransformer,neuralforecast.models.vanillatransformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,XLinear,neuralforecast.models.xlinear,False,MISSING,Static catalog match only; runtime verification required.
auto,iTransformer,neuralforecast.models.itransformer,True,IMPLEMENTED_OR_REFERENCED,Static catalog match only; runtime verification required.
auto,xLSTM,neuralforecast.models.xlstm,False,MISSING,Static catalog match only; runtime verification required.
