model_id	identity_status	repo_ids	revisions	surfaces	providers	environments	backends	libraries	classes	runtime_statuses	algorithm_ids	implementation_ids
autogluon-recursivetabular	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""RecursiveTabularModel""]"	"[""NOT_RUN""]"	"[""recursivetabular""]"	"[""autogluon-recursivetabular""]"
autogluon-seasonalaverage	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""SeasonalAverageModel""]"	"[""NOT_RUN""]"	"[""seasonalaverage""]"	"[""autogluon-seasonalaverage""]"
autogluon-seasonalnaive	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""SeasonalNaiveModel""]"	"[""NOT_RUN""]"	"[""seasonalnaive""]"	"[""autogluon-seasonalnaive""]"
autogluon-simplefeedforward	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""SimpleFeedForwardModel""]"	"[""NOT_RUN""]"	"[""simplefeedforward""]"	"[""autogluon-simplefeedforward""]"
autogluon-temporalfusiontransformer	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""TemporalFusionTransformerModel""]"	"[""NOT_RUN""]"	"[""tft""]"	"[""autogluon-temporalfusiontransformer""]"
autogluon-theta	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ThetaModel""]"	"[""NOT_RUN""]"	"[""theta""]"	"[""autogluon-theta""]"
autogluon-tide	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""TiDEModel""]"	"[""NOT_RUN""]"	"[""tide""]"	"[""autogluon-tide""]"
autogluon-timeseries	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1""]"	[]	[]	[]	"[""autogluon""]"	"[""TimeSeriesPredictor""]"	[]	[]	[]
autogluon-toto	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""TotoModel""]"	"[""NOT_RUN""]"	"[""toto""]"	"[""autogluon-toto""]"
autogluon-wavenet	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""WaveNetModel""]"	"[""NOT_RUN""]"	"[""wavenet""]"	"[""autogluon-wavenet""]"
autogluon-zero	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""autogluon""]"	"[""ZeroModel""]"	"[""NOT_RUN""]"	"[""zero""]"	"[""autogluon-zero""]"
catboost-classifier	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""catboost""]"	"[""CatBoostClassifier""]"	"[""NOT_RUN""]"	"[""catboostclassifier""]"	"[""catboost-classifier""]"
chronos-2	RESOLVED_CANDIDATE	"[""amazon/chronos-2""]"	"[""29ec3766d36d6f73f0696f85560a422f50e8498c""]"	"[""base_catalog"", ""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_chronos_2_provider.py""]"	[]	[]	"[""chronos"", ""tsfm""]"	"[""Chronos2Pipeline""]"	"[""NOT_RUN""]"	"[""chronos2pipeline""]"	"[""chronos-2""]"
chronos-2-small	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""chronos""]"	"[""Chronos2Pipeline""]"	[]	[]	[]
chronos-bolt-tiny	RESOLVED_CANDIDATE	"[""amazon/chronos-bolt-tiny""]"	"[""a0e552de83495b5c28c14c71c374f3e33280b340""]"	"[""base_catalog"", ""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_chronos_bolt_provider.py""]"	[]	[]	"[""chronos"", ""tsfm""]"	"[""ChronosBoltPipeline""]"	"[""NOT_RUN""]"	"[""chronosboltpipeline""]"	"[""chronos-bolt-tiny""]"
chronos-t5-base	RESOLVED_CANDIDATE	"[""amazon/chronos-t5-base""]"	"[""ad294eaacead15db499b740ea4122266dd2a81a2""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_chronos_t5_base_provider.py""]"	[]	[]	"[""tsfm""]"	"[""ChronosPipeline""]"	"[""NOT_RUN""]"	"[""chronospipeline""]"	"[""chronos-t5-base""]"
chronos-t5-small	RESOLVED_CANDIDATE	"[""amazon/chronos-t5-small""]"	"[""a971ba21945c4f1796b17a91fe69214b5f4ad472""]"	"[""base_catalog"", ""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_chronos_t5_provider.py""]"	[]	[]	"[""chronos"", ""tsfm""]"	"[""ChronosPipeline""]"	"[""NOT_RUN""]"	"[""chronospipeline""]"	"[""chronos-t5-small""]"
darts-ensemble	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""darts""]"	"[""RegressionEnsembleModel""]"	"[""NOT_RUN""]"	"[""regressionensemblemodel""]"	"[""darts-ensemble""]"
elastic-net	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""sklearn""]"	"[""ElasticNet""]"	"[""NOT_RUN""]"	"[""elasticnet""]"	"[""elastic-net""]"
elasticnet-position	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""sklearn""]"	"[""ElasticNet""]"	[]	[]	[]
extra-trees	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""sklearn""]"	"[""ExtraTreesClassifier""]"	"[""NOT_RUN""]"	"[""extratreesclassifier""]"	"[""extra-trees""]"
frequency	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""builtin""]"	"[""FrequencyCandidateAdapter""]"	"[""NOT_RUN""]"	"[""frequencycandidateadapter""]"	"[""frequency""]"
gluonts-deepar	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1""]"	[]	[]	[]	"[""gluonts""]"	"[""DeepAREstimator""]"	[]	[]	[]
gluonts-torch-deepar	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""DeepAREstimator""]"	"[""NOT_RUN""]"	"[""deepar""]"	"[""gluonts-torch-deepar""]"
gluonts-torch-deepnpts	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""DeepNPTSEstimator""]"	"[""NOT_RUN""]"	"[""deepnpts""]"	"[""gluonts-torch-deepnpts""]"
gluonts-torch-dlinear	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""DLinearEstimator""]"	"[""NOT_RUN""]"	"[""dlinear""]"	"[""gluonts-torch-dlinear""]"
gluonts-torch-lagtst	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""LagTSTEstimator""]"	"[""NOT_RUN""]"	"[""lagtst""]"	"[""gluonts-torch-lagtst""]"
gluonts-torch-patchtst	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""PatchTSTEstimator""]"	"[""NOT_RUN""]"	"[""patchtst""]"	"[""gluonts-torch-patchtst""]"
gluonts-torch-simplefeedforward	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""SimpleFeedForwardEstimator""]"	"[""NOT_RUN""]"	"[""simplefeedforward""]"	"[""gluonts-torch-simplefeedforward""]"
gluonts-torch-temporalfusiontransformer	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""TemporalFusionTransformerEstimator""]"	"[""NOT_RUN""]"	"[""tft""]"	"[""gluonts-torch-temporalfusiontransformer""]"
gluonts-torch-tide	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""TiDEEstimator""]"	"[""NOT_RUN""]"	"[""tide""]"	"[""gluonts-torch-tide""]"
gluonts-torch-wavenet	RESOLVED_CANDIDATE	[]	[]	"[""expanded_v2""]"	[]	[]	[]	"[""gluonts""]"	"[""WaveNetEstimator""]"	"[""NOT_RUN""]"	"[""wavenet""]"	"[""gluonts-torch-wavenet""]"
granite-flowstate-r1	RESOLVED_CANDIDATE	"[""ibm-granite/granite-timeseries-flowstate-r1""]"	"[""05effc6cb39ee16dce9dd0064ed1a76e4b8ff464""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_granite_flowstate_r1_provider.py""]"	[]	[]	"[""tsfm""]"	"[""FlowStateForPrediction""]"	"[""NOT_RUN""]"	"[""flowstateforprediction""]"	"[""granite-flowstate-r1""]"
granite-patchtsmixer	RESOLVED_CANDIDATE	"[""ibm-granite/granite-timeseries-patchtsmixer""]"	"[""90dc5a88d45f032b7dceefb5d814ca2af54f2ff9""]"	"[""broad_v1"", ""expanded_v2"", ""verified_revision""]"	[]	[]	[]	"[""tsfm""]"	"[""PatchTSMixerForPrediction""]"	"[""NOT_RUN""]"	"[""patchtsmixerforprediction""]"	"[""granite-patchtsmixer""]"
granite-patchtst	RESOLVED_CANDIDATE	"[""ibm-granite/granite-timeseries-patchtst""]"	"[""7fe295d8bc8fbac8041b60ab351882634165517f""]"	"[""broad_v1"", ""expanded_v2"", ""verified_revision""]"	[]	[]	[]	"[""tsfm""]"	"[""PatchTSTForPrediction""]"	"[""NOT_RUN""]"	"[""patchtstforprediction""]"	"[""granite-patchtst""]"
granite-ttm	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""transformers""]"	"[""TinyTimeMixerForPrediction""]"	[]	[]	[]
granite-ttm-r2	RESOLVED_CANDIDATE	"[""ibm-granite/granite-timeseries-ttm-r2""]"	"[""d6a79570cac0f33d526601cd3a0fc7c80a8f9a2f""]"	"[""broad_v1"", ""expanded_v2"", ""verified_revision""]"	[]	[]	[]	"[""tsfm""]"	"[""TinyTimeMixerForPrediction""]"	"[""NOT_RUN""]"	"[""tinytimemixerforprediction""]"	"[""granite-ttm-r2""]"
hf-bottomup	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""BottomUp""]"	"[""NOT_RUN""]"	"[""bottomup""]"	"[""hf-bottomup""]"
hf-bottomupsparse	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""BottomUpSparse""]"	"[""NOT_RUN""]"	"[""bottomupsparse""]"	"[""hf-bottomupsparse""]"
hf-erm	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""ERM""]"	"[""NOT_RUN""]"	"[""erm""]"	"[""hf-erm""]"
hf-middleout	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""MiddleOut""]"	"[""NOT_RUN""]"	"[""middleout""]"	"[""hf-middleout""]"
hf-middleoutsparse	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""MiddleOutSparse""]"	"[""NOT_RUN""]"	"[""middleoutsparse""]"	"[""hf-middleoutsparse""]"
hf-mintrace	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""MinTrace""]"	"[""NOT_RUN""]"	"[""mintrace""]"	"[""hf-mintrace""]"
hf-mintracesparse	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""MinTraceSparse""]"	"[""NOT_RUN""]"	"[""mintracesparse""]"	"[""hf-mintracesparse""]"
hf-optimalcombination	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""OptimalCombination""]"	"[""NOT_RUN""]"	"[""optimalcombination""]"	"[""hf-optimalcombination""]"
hf-topdown	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""TopDown""]"	"[""NOT_RUN""]"	"[""topdown""]"	"[""hf-topdown""]"
hf-topdownsparse	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""hierarchicalforecast""]"	"[""TopDownSparse""]"	"[""NOT_RUN""]"	"[""topdownsparse""]"	"[""hf-topdownsparse""]"
hist-gradient-boosting	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""sklearn""]"	"[""HistGradientBoostingClassifier""]"	"[""NOT_RUN""]"	"[""histgradientboostingclassifier""]"	"[""hist-gradient-boosting""]"
isotonic-calibrated-logistic	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""sklearn""]"	"[""CalibratedClassifierCV""]"	"[""NOT_RUN""]"	"[""calibratedclassifiercv""]"	"[""isotonic-calibrated-logistic""]"
kronos-base	RESOLVED_CANDIDATE	"[""NeoQuasar/Kronos-base""]"	"[""2b554741eca47781b64468546e77fef3e85130e6""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_kronos_base_provider.py""]"	[]	[]	"[""tsfm""]"	"[""KronosPredictor""]"	"[""NOT_RUN""]"	"[""kronospredictor""]"	"[""kronos-base""]"
lag-llama	RESOLVED_CANDIDATE	"[""time-series-foundation-models/Lag-Llama""]"	"[""72dcfc29da106acfe38250a60f4ae29d1e56a3d9""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_lag_llama_provider.py""]"	[]	[]	"[""tsfm""]"	"[""LagLlamaEstimator""]"	"[""NOT_RUN""]"	"[""lagllamaestimator""]"	"[""lag-llama""]"
lightgbm-classifier	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""lightgbm""]"	"[""LGBMClassifier""]"	"[""NOT_RUN""]"	"[""lgbmclassifier""]"	"[""lightgbm-classifier""]"
lightgbm-position	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""lightgbm""]"	"[""LGBMRegressor""]"	"[""NOT_RUN""]"	"[""lgbmregressor""]"	"[""lightgbm-position""]"
logistic	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog"", ""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""sklearn""]"	"[""LogisticRegression""]"	"[""NOT_RUN""]"	"[""logisticregression""]"	"[""logistic""]"
mfauto-catboost	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoCatboost""]"	"[""NOT_RUN""]"	"[""autocatboost""]"	"[""mfauto-catboost""]"
mfauto-elasticnet	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoElasticNet""]"	"[""NOT_RUN""]"	"[""autoelasticnet""]"	"[""mfauto-elasticnet""]"
mfauto-lasso	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoLasso""]"	"[""NOT_RUN""]"	"[""autolasso""]"	"[""mfauto-lasso""]"
mfauto-lightgbm	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoLightGBM""]"	"[""NOT_RUN""]"	"[""autolightgbm""]"	"[""mfauto-lightgbm""]"
mfauto-linearregression	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoLinearRegression""]"	"[""NOT_RUN""]"	"[""autolinearregression""]"	"[""mfauto-linearregression""]"
mfauto-randomforest	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoRandomForest""]"	"[""NOT_RUN""]"	"[""autorandomforest""]"	"[""mfauto-randomforest""]"
mfauto-ridge	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoRidge""]"	"[""NOT_RUN""]"	"[""autoridge""]"	"[""mfauto-ridge""]"
mfauto-xgboost	RESOLVED_CANDIDATE	[]	[]	"[""broad_v1"", ""expanded_v2""]"	[]	[]	[]	"[""mlforecast_auto""]"	"[""AutoXGBoost""]"	"[""NOT_RUN""]"	"[""autoxgboost""]"	"[""mfauto-xgboost""]"
mlforecast-lightgbm	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""mlforecast""]"	"[""LGBMRegressor""]"	[]	[]	[]
mlforecast-ridge	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""mlforecast""]"	"[""Ridge""]"	[]	[]	[]
moirai	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""uni2ts""]"	"[""Moirai2Forecast""]"	[]	[]	[]
moirai-1.0-base	RESOLVED_CANDIDATE	"[""Salesforce/moirai-1.0-R-base""]"	"[""4fa939a8800d9da346c0280f3d9aeba0d2d35877""]"	"[""broad_v1"", ""expanded_v2"", ""verified_revision""]"	[]	[]	[]	"[""tsfm""]"	"[""MoiraiForecast""]"	"[""NOT_RUN""]"	"[""moiraiforecast""]"	"[""moirai-1.0-base""]"
moirai-2.0-r-small	RESOLVED_CANDIDATE	"[""Salesforce/moirai-2.0-R-small""]"	"[""30f43ff08c8494f4943ae1521e9d4e94a0fbb389""]"	"[""manifest_constants""]"	[]	[]	[]	[]	[]	[]	[]	[]
moirai-2.0-small	RESOLVED_CANDIDATE	"[""Salesforce/moirai-2.0-R-small""]"	"[""30f43ff08c8494f4943ae1521e9d4e94a0fbb389""]"	"[""broad_v1"", ""expanded_v2"", ""verified_revision""]"	[]	[]	[]	"[""tsfm""]"	"[""MoiraiForecast""]"	"[""NOT_RUN""]"	"[""moiraiforecast""]"	"[""moirai-2.0-small""]"
moment-1-large	RESOLVED_CANDIDATE	"[""AutonLab/MOMENT-1-large""]"	"[""ca58581bc7bea2ebed4e80dc0a3e4b8b609c6ecc""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_moment_1_large_provider.py""]"	[]	[]	"[""tsfm""]"	"[""MOMENTPipeline""]"	"[""NOT_RUN""]"	"[""momentpipeline""]"	"[""moment-1-large""]"
moment-1-small	RESOLVED_CANDIDATE	"[""AutonLab/MOMENT-1-small""]"	"[""411e288267f82cce86296dbe4d6c8bc533cc162f""]"	"[""broad_v1"", ""execution_surface"", ""expanded_v2"", ""verified_revision""]"	"[""scripts/run_moment_1_small_provider.py""]"	[]	[]	"[""tsfm""]"	"[""MOMENTPipeline""]"	"[""NOT_RUN""]"	"[""momentpipeline""]"	"[""moment-1-small""]"
nf-auto-autoformer	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""neuralforecast_auto""]"	"[""AutoAutoformer""]"	[]	[]	[]
nf-auto-bitcn	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""neuralforecast_auto""]"	"[""AutoBiTCN""]"	[]	[]	[]
nf-auto-deepar	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""neuralforecast_auto""]"	"[""AutoDeepAR""]"	[]	[]	[]
nf-auto-deepnpts	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""neuralforecast_auto""]"	"[""AutoDeepNPTS""]"	[]	[]	[]
nf-auto-dilatedrnn	RESOLVED_CANDIDATE	[]	[]	"[""base_catalog""]"	[]	[]	[]	"[""neuralforecast_auto""]"	"[""AutoDilatedRNN""]"	[]	[]	[]
